基金代码,状态,基金经理姓名,基金经理简介,托管费率,最高申购费率,最高认购费率,最高赎回费率,状态_费率,管理费率,销售服务费率,业绩比较基准,份额规模,发行日期,基金全称,基金托管人,基金简称,基金管理人,基金类型,基金经理人,成立日期/规模,成立来分红,资产规模,跟踪标的
015441（前端）基金类型混合型-偏股,成功,朱然,"朱然先生:中国国籍,北京大学工学硕士,曾任甲骨文(中国)IT工程师,广发证券(香港)海外市场TMT行业分析师,红土创新基金研究员、基金经理和投资副总监。2021年8月加入信达澳亚基金权益投资部。现任信澳转型创新股票基金基金经理(2021年12月20日起至今)、信澳智选先锋一年持有期混合基金基金经理(2022年6月14日起至今)、信澳匠心臻选两年持有期混合基金的基金经理(2022年8月16日起至今)、信澳汇智优选一年持有期混合型证券投资基金基金经理(2022年11月22日起至今)。2025年8月14日担任信澳新能源精选混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,0.00%（前端）,,1.20%（每年）,0.60%（每年）,中证800指数收益率*90%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,0.3825亿份（截止至：2025年06月30日）,2022年05月23日,信澳智选先锋一年持有期混合型证券投资基金,建设银行,信澳智选先锋一年持有期混合C,信达澳亚基金,混合型-偏股,朱然、郭敏,2022年06月14日 / 3.517亿份,每份累计0.00元（0次）,0.32亿元（截止至：2025年06月30日）份额规模0.3825亿份（截止至：2025年06月30日）,该基金无跟踪标的
021489（前端）基金类型混合型-偏股,成功,王森,"王森先生:1989年11月生,中国国籍,中共党员,经济学硕士学位,毕业于清华大学五道口金融学院应用经济学专业,曾任职于渤海人寿保险股份有限公司担任资产管理中心股票投资经理、光大兴陇信托有限责任公司担任资本市场与投资总部投资经理。2021年7月加入中航基金管理有限公司,先后担任资产管理部投资经理、权益投资部基金经理。自2023年9月起,担任中航恒宇港股通价值优选混合型发起式证券投资基金基金经理。2024年6月起,担任中航趋势领航混合型发起式证券投资基金基金经理。2024年8月起,担任中航远见领航混合型发起式证券投资基金基金经理。2024年12月起,担任中航优选领航混合型发起式证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*70%+中债综合指数收益率*25%+中证港股通综合指数收益率*5%,0.8873亿份（截止至：2025年06月30日）,2024年05月22日,中航趋势领航混合型发起式证券投资基金,邮储银行,中航趋势领航混合发起A,中航基金,混合型-偏股,王森,2024年06月18日 / 0.208亿份,每份累计0.04元（1次）,1.71亿元（截止至：2025年06月30日）份额规模0.8873亿份（截止至：2025年06月30日）,该基金无跟踪标的
021719（前端）基金类型指数型-股票,成功,毛甜,"毛甜女士:硕士,2010年至2012年曾任国信证券经济研究所金融工程部助理分析师;2012年至2017年任职光大富尊投资有限公司,历任研究员、投资经理。2017年7月加入华泰证券(上海)资产管理有限公司。2017年12月至2020年12月任华泰紫金中证红利低波动指数发起式证券投资基金基金经理。2018年3月起担任华泰紫金智能量化股票型发起式证券投资基金基金经理。2021年7月起担任华泰紫金中证细分食品饮料产业主题指数型发起式证券投资基金基金经理。2022年4月起担任华泰紫金中证细分化工产业主题指数型发起式证券投资基金、华泰紫金中证医药50指数型发起式证券投资基金基金经理。2022年11月起担任华泰紫金沪深300指数增强型发起式证券投资基金基金经理。2023年2月起任华泰紫金中证500指数增强型发起式证券投资基金基金经理。2023年6月担任华泰紫金中证1000指数增强型发起式证券投资基金、华泰紫金恒生互联网科技业指数型发起式证券投资基金(QDII)的基金经理。",0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.25%（每年）,中证半导体产业指数收益率*95%+银行活期存款利率(税后)*5%,0.2459亿份（截止至：2025年06月30日）,2024年07月08日,华泰紫金中证半导体产业指数型发起式证券投资基金,招商银行,华泰紫金中证半导体产业指数型发起C,华泰证券(上海)资产管理,指数型-股票,毛甜,2024年07月17日 / 0.102亿份,每份累计0.00元（0次）,0.33亿元（截止至：2025年06月30日）份额规模0.2459亿份（截止至：2025年06月30日）,中证半导体产业指数
519606（前端）基金类型股票型,成功,于腾达,"于腾达先生:中国,硕士研究生。曾任职于兴业证券、泰康资产。2017年9月加入国泰基金,历任研究员、基金经理助理。2021年11月起任国泰金鑫股票型证券投资基金基金经理。2025年1月17日起任国泰成长优选混合型证券投资基金的基金经理。",0.20%（每年）,,1.50%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*90%+中证综合债指数收益率*10%,1.9688亿份（截止至：2025年06月30日）,2014年09月22日,国泰金鑫股票型证券投资基金,建设银行,国泰金鑫股票A,国泰基金,股票型,于腾达,2014年09月15日 / 11.718亿份,每份累计0.00元（0次）,3.52亿元（截止至：2025年06月30日）份额规模1.9688亿份（截止至：2025年06月30日）,该基金无跟踪标的
013221（前端）基金类型混合型-偏股,成功,袁维德,"袁维德先生:中国国籍,硕士研究生。中欧中生代基金经理,兼顾价值与成长,研究范围覆盖金融工程、TMT、新能源、科技、大消费、等多个行业。2011年11月28日至2015年7月17日任新华基金管理有限公司行业研究员。2015年7月加入中欧基金管理有限公司,任研究员。2016年12月28日至2022年2月11日担任中欧潜力价值灵活配置型证券投资基金。2016年12月28日至2022年2月11日担任中欧成长优选回报灵活配置混合型发起式证券投资基金基金经理。2018年3月28日起担任中欧睿泓定期开放灵活配置型证券投资基金基金经理。2020年5月15日起担任中欧价值智选回报混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,0.00%（前端）,,1.20%（每年）,0.80%（每年）,中证500指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+银行活期存款利率(税后)*20%,9.4624亿份（截止至：2025年06月30日）,2021年08月26日,中欧新兴价值一年持有期混合型证券投资基金,平安银行,中欧新兴价值一年持有混合C,中欧基金,混合型-偏股,袁维德,2021年09月06日 / 53.089亿份,每份累计0.00元（0次）,8.33亿元（截止至：2025年06月30日）份额规模9.4624亿份（截止至：2025年06月30日）,该基金无跟踪标的
000017（前端）基金类型混合型-偏股,成功,夏钦,"夏钦先生:硕士研究生。上海交通大学会计学硕士。历任上海申银万国证券研究所高级研究员,UBS(瑞银)董事,平安资产管理有限责任公司策略研究经理。2015年9月加入财通基金管理有限公司,现任基金投资部基金经理。2020年4月13日担任财通行业龙头精选混合型证券投资基金基金经理。2019年7月3日至2021年3月24日担任财通福盛多策略混合型发起式证券投资基金(LOF)基金经理。2019年2月28日至2021年4月19日担任财通新兴蓝筹混合型证券投资基金基金经理。曾任财通多策略福瑞混合型发起式证券投资基金(LOF)基金经理。曾任财通景气行业混合型证券投资基金的基金经理。曾任财通均衡优选一年持有期混合型证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率×80% +上证国债指数收益率×20%,0.8129亿份（截止至：2025年06月30日）,2013年02月25日,财通可持续发展主题混合型证券投资基金,工商银行,财通可持续混合,财通基金,混合型-偏股,夏钦,2013年03月27日 / 3.148亿份,每份累计1.82元（11次）,1.10亿元（截止至：2025年06月30日）份额规模0.8129亿份（截止至：2025年06月30日）,该基金无跟踪标的
010562（前端）基金类型混合型-偏股,成功,欧子辰,"欧子辰先生:中国国籍,凯斯西储大学金融学硕士,2013年8月至2018年10月在华创证券有限公司研究所担任研究员;2018年10月进入万家基金管理有限公司工作,曾任投资研究部研究员、基金经理助理,投资研究部基金经理。2022年2月8日至2023年7月12日任万家科创主题3年封闭运作灵活配置混合型证券投资基金基金经理。曾任万家新能源主题混合型发起式证券投资基金基金经理。现任永赢基金管理有限公司权益投资部基金经理。2024年3月4日担任永赢成长领航混合型证券投资基金基金经理。2024年7月1日担任永赢智能领先混合型证券投资基金基金经理。2025年7月28日起任永赢新材料智选混合型发起式证券投资基金的基金经理。",0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证500指数收益率×60%+恒生指数收益率(按估值汇率折算)*20%+中债-综合指数(全价)收益率*20%,5.2989亿份（截止至：2025年06月30日）,2020年11月23日,永赢成长领航混合型证券投资基金,交通银行,永赢成长领航混合A,永赢基金,混合型-偏股,欧子辰,2020年12月01日 / 13.143亿份,每份累计0.00元（0次）,4.37亿元（截止至：2025年06月30日）份额规模5.2989亿份（截止至：2025年06月30日）,该基金无跟踪标的
003070（前端）基金类型股票型,成功,王卫林,"王卫林先生:华中科技大学工学学士、北京大学软件工程专业硕士。2016年7月至2018年1月在南方基金管理有限公司任职量化研究员;2018年1月至2023年2月在长城基金管理有限公司任职量化与指数投资部研究员、基金经理助理、基金经理;2023年2月加入光大保德信基金管理有限公司,现任权益管理总部量化投资团队基金经理,2023年8月至今担任光大保德信量化核心证券投资基金、光大保德信中证500指数增强型证券投资基金、光大保德信创业板量化优选股票型证券投资基金、光大保德信锦弘混合型证券投资基金的基金经理。2025年8月至今担任光大保德信国证通用航空产业指数型发起式证券投资基金的基金经理。",0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,90%×创业板综合指数收益率+10%×银行活期存款利率(税后),1.1645亿份（截止至：2025年06月30日）,2017年12月22日,光大保德信创业板量化优选股票型证券投资基金,建设银行,光大创业板量化优选C,光大保德信基金,股票型,王卫林,2020年01月02日 / --,每份累计0.00元（0次）,1.44亿元（截止至：2025年06月30日）份额规模1.1645亿份（截止至：2025年06月30日）,该基金无跟踪标的
015456（前端）基金类型混合型-偏股,成功,齐兴方,"齐兴方先生:北京大学工商管理专业硕士,曾任联想集团研发工程师,摩根士丹利华鑫基金管理有限公司研究员、基金经理助理、研究总监助理。2021年1月加入信达澳亚基金管理有限公司,具有中国证券投资基金业协会颁发的证券投资基金执业资格。曾任信澳精华配置混合基金基金经理(2021年4月6日起至2022年7月19日)。现任信澳领先增长基金基金经理(2021年12月17日起至今)、信澳先进智造股票基金基金经理(2022年11月14日起至今)。",0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,沪深300指数收益率*80%+中国债券总指数收益率*20%,1.5474亿份（截止至：2025年06月30日）,2007年03月05日,信澳领先增长混合型证券投资基金,建设银行,信澳领先增长混合C,信达澳亚基金,混合型-偏股,齐兴方,2022年03月24日 / --,每份累计0.00元（0次）,2.30亿元（截止至：2025年06月30日）份额规模1.5474亿份（截止至：2025年06月30日）,该基金无跟踪标的
018731（前端）基金类型混合型-偏股,成功,钟帅,"钟帅先生:经济学硕士。曾任华夏基金管理有限公司研究员、基金经理助理;天风证券股份有限公司首席金融分析师。2018年10月加入华夏基金管理有限公司,历任股票投资部基金经理助理,现任华夏行业景气混合型证券投资基金基金经理(2020年7月28日起任职)、华夏远见成长一年持有期混合型证券投资基金基金经理(2022年9月20日起任职)、华夏招鑫鸿瑞混合型证券投资基金基金经理(2024年1月16日起任职)、华夏卓越成长混合型证券投资基金基金经理(2025年8月12日起任职)。",0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合(全价)指数收益率*20%,0.5692亿份（截止至：2025年06月30日）,2023年10月17日,华夏招鑫鸿瑞混合型证券投资基金,招商银行,华夏招鑫鸿瑞混合C,华夏基金,混合型-偏股,钟帅,2024年01月16日 / 4.743亿份,每份累计0.00元（0次）,0.88亿元（截止至：2025年06月30日）份额规模0.5692亿份（截止至：2025年06月30日）,该基金无跟踪标的
015849（前端）基金类型混合型-灵活,成功,孙权,"孙权先生:中国国籍,研究生、硕士,自2013年07月至2015年03月任兴业证券资产管理有限公司研究员;2015年04月加入富国基金管理有限公司,历任行业研究员、高级行业研究员;权益专户投资部权益投资经理助理。2022年2月28日起担任富国新兴产业股票型证券投资基金基金经理。2022年7月28日起担任富国创新企业灵活配置混合型证券投资基金(LOF)基金经理。",0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中证TMT产业主题指数收益率*60%+中证全债指数收益率*40%,1.1935亿份（截止至：2025年06月30日）,2022年06月09日,富国创新企业灵活配置混合型证券投资基金(LOF),招商银行,富国创新企业灵活配置混合(LOF)C,富国基金,混合型-灵活,孙权,2022年06月13日 / --,每份累计0.00元（0次）,2.26亿元（截止至：2025年06月30日）份额规模1.1935亿份（截止至：2025年06月30日）,该基金无跟踪标的
013640（前端）基金类型指数型-股票,成功,王卫林,"王卫林先生:华中科技大学工学学士、北京大学软件工程专业硕士。2016年7月至2018年1月在南方基金管理有限公司任职量化研究员;2018年1月至2023年2月在长城基金管理有限公司任职量化与指数投资部研究员、基金经理助理、基金经理;2023年2月加入光大保德信基金管理有限公司,现任权益管理总部量化投资团队基金经理,2023年8月至今担任光大保德信量化核心证券投资基金、光大保德信中证500指数增强型证券投资基金、光大保德信创业板量化优选股票型证券投资基金、光大保德信锦弘混合型证券投资基金的基金经理。2025年8月至今担任光大保德信国证通用航空产业指数型发起式证券投资基金的基金经理。",0.15%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.00%（每年）,0.40%（每年）,中证500指数收益率*95%+活期存款利率(税后)*5%,2.1295亿份（截止至：2025年06月30日）,2021年09月15日,光大保德信中证500指数增强型证券投资基金,上海银行,光大中证500指数增强C,光大保德信基金,指数型-股票,王卫林、朱剑涛,2021年09月29日 / 5.302亿份,每份累计0.00元（0次）,2.09亿元（截止至：2025年06月30日）份额规模2.1295亿份（截止至：2025年06月30日）,中证500指数
013845（前端）基金类型FOF-进取型,成功,刘宁,"刘宁女士:北京工业大学光学专业硕士。曾任天相投顾投资分析部TMT组组长;建信人寿资产管理部权益投资专员、嘉合基金权益投资二部拟任基金经理。2015年7月加入中信建投基金管理有限公司,曾任投资部基金经理、研究部研究员、特定资产管理部资深经理,现担任中信建投基金管理有限公司FOF投资部基金经理。2016年4月至2019年4月任中信建投医改灵活配置混合型证券投资基金基金经理,2021年11月起至今担任中信建投睿选6个月持有期混合型基金中基金(FOF)基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,0.00%（前端）,,1.00%（每年）,0.40%（每年）,中证偏股型基金指数收益率*90%+银行活期存款利率(税后)*10%,0.3605亿份（截止至：2025年06月30日）,2021年10月25日,中信建投睿选6个月持有期混合型基金中基金(FOF),北京银行,中信建投睿选6个月持有混合(FOF)C,中信建投基金,FOF-进取型,刘宁,2021年11月02日 / 3.317亿份,每份累计0.00元（0次）,0.27亿元（截止至：2025年06月30日）份额规模0.3605亿份（截止至：2025年06月30日）,该基金无跟踪标的
005608（前端）基金类型指数型-股票,成功,喻银尤,"喻银尤先生:中国国籍,研究生毕业、硕士,曾在中信建投证券股份有限公司从事量化研究工作,2018年9月加入华宝基金管理有限公司,历任量化分析师、投资经理等职务。2022年7月5日起担任华宝中证500指数增强型发起式证券投资基金基金经理。2025年03月29日起担任华宝新活力灵活配置混合型证券投资基金基金经理。2025年6月起任华宝中证A500指数增强型证券投资基金基金经理。",0.12%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.00%（每年）,0.40%（每年）,中证500指数收益率*95%+银行活期存款利率(税后)*5%,0.193亿份（截止至：2025年06月30日）,2018年04月02日,华宝中证500指数增强型发起式证券投资基金,民生银行,华宝中证500增强C,华宝基金,指数型-股票,喻银尤,2018年04月19日 / 0.552亿份,每份累计0.00元（0次）,0.23亿元（截止至：2025年06月30日）份额规模0.193亿份（截止至：2025年06月30日）,中证500指数
009055（前端）基金类型混合型-偏股,成功,汪萍,"汪萍女士:中国国籍,上海财经大学经济学硕士,现任圆信永丰基金管理有限公司研究部研究员。历任民生证券股份有限公司销售经理、国泰君安证券股份有限公司销售经理、圆信永丰基金管理有限公司研究部助理研究员、研究员。于2020年5月14日起任圆信永丰大湾区主题混合型证券投资基金基金经理。2021年11月18日担任圆信永丰研究精选混合型证券投资基金基金经理。2024年4月3日起任圆信永丰优享生活灵活配置混合型证券投资基金的基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证粤港澳大湾区发展主题指数收益率×70%+上证国债指数收益率×30%,0.1878亿份（截止至：2025年06月30日）,2020年04月15日,圆信永丰大湾区主题混合型证券投资基金,建设银行,圆信永丰大湾区A,圆信永丰基金,混合型-偏股,汪萍,2020年05月14日 / 2.186亿份,每份累计0.00元（0次）,0.28亿元（截止至：2025年06月30日）份额规模0.1878亿份（截止至：2025年06月30日）,该基金无跟踪标的
014172（前端）基金类型指数型-股票,成功,张圣贤,"张圣贤先生:中国国籍,硕士,曾任上海申银万国证券研究所有限公司分析师;自2015年3月加入富国基金管理有限公司,历任基金经理助理、定量基金经理、量化投资部量化投资总监助理;现任富国基金量化投资部量化投资副总监兼定量基金经理。自2015年06月起任富国中证军工指数型证券投资基金(原富国中证军工指数分级证券投资基金)基金经理;自2015年06月起任富国中证新能源汽车指数型证券投资基金(原富国中证新能源汽车指数分级证券投资基金)基金经理;自2015年08月起任富国中证工业4.0指数型证券投资基金(原富国中证工业4.0指数分级证券投资基金)基金经理;自2015年08月起任富国中证体育产业指数型证券投资基金(原富国中证体育产业指数分级证券投资基金)基金经理;自2016年02月起任富国中证智能汽车指数证券投资基金(LOF)基金经理;自2017年11月起任富国中证煤炭指数型证券投资基金(原富国中证煤炭指数分级证券投资基金)基金经理;自2020年12月起任富国中证农业主题交易型开放式指数证券投资基金基金经理;自2020年12月起任富国中证智能汽车主题交易型开放式指数证券投资基金基金经理;自2021年06月起任富国中证现代物流交易型开放式指数证券投资基金基金经理;自2021年08月起任富国中证芯片产业交易型开放式指数证券投资基金基金经理;自2022年01月起任富国中证消费电子主题交易型开放式指数证券投资基金基金经理;自2022年01月起任富国中证芯片产业交易型开放式指数证券投资基金发起式联接基金基金经理;自2022年06月起任富国中证消费电子主题交易型开放式指数证券投资基金发起式联接基金基金经理;自2022年08月起任富国中证农业主题交易型开放式指数证券投资基金联接基金基金经理;自2023年03月起任富国中证绿色电力交易型开放式指数证券投资基金基金经理;自2023年12月起任富国中证绿色电力交易型开放式指数证券投资基金发起式联接基金基金经理;自2024年12月起任富国上证科创板芯片交易型开放式指数证券投资基金基金经理;自2025年03月起任富国上证科创板芯片交易型开放式指数证券投资基金发起式联接基金基金经理;具有基金从业资格。",0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.00%（每年）,0.20%（每年）,中证工业4.0指数收益率*95%+银行人民币活期存款利率(税后)*5%,0.3451亿份（截止至：2025年06月30日）,2018年12月19日,富国中证工业4.0指数型证券投资基金(LOF),工商银行,富国中证工业4.0指数(LOF)C,富国基金,指数型-股票,张圣贤,2021年12月07日 / --,每份累计0.00元（0次）,0.33亿元（截止至：2025年06月30日）份额规模0.3451亿份（截止至：2025年06月30日）,中证工业4.0指数
018113（前端）基金类型指数型-股票,成功,赵栩,"赵栩先生:中国,硕士,2008年加入工银瑞信,曾任风险管理部金融工程分析师;2008年加入工银瑞信,现任指数及量化投资部副总经理、基金经理。2011年10月18日至今,担任上证中央企业50交易型开放式指数证券投资基金基金经理;2012年10月9日至今,担任工银瑞信深证红利交易型开放式指数证券投资基金联接基金基金经理;2012年10月9日至今,担任深证红利交易型开放式指数证券投资基金基金经理;2013年5月28日至2017年6月19日,担任工银瑞信国际原油证券投资基金(LOF)基金经理;2015年7月9日至2020年7月27日,担任工银瑞信中证环保产业指数分级证券投资基金基金经理;2015年7月9日至2020年10月18日,担任工银瑞信中证新能源指数分级证券投资基金基金经理;2017年12月25日至今,担任工银瑞信创业板交易型开放式指数证券投资基金基金经理;2018年3月21日至今,担任工银瑞信创业板交易型开放式指数证券投资基金联接基金基金经理;2018年12月7日至今,担任工银瑞信上证50交易型开放式指数证券投资基金基金经理;2018年12月25日至今,担任工银瑞信上证50交易型开放式指数证券投资基金联接基金基金经理;2020年2月18日至2025年2月7日担任工银瑞信中证500交易型开放式指数证券投资基金联接基金基金经理;2020年4月24日至今,担任工银瑞信黄金交易型开放式证券投资基金基金经理;2020年5月21日至今,担任工银瑞信黄金交易型开放式证券投资基金联接基金基金经理;2020年6月1日至2022年3月31日,担任工银瑞信中证800交易型开放式指数证券投资基金基金经理;2020年7月24日至2022年4月26日,担任工银瑞信深证100交易型开放式指数证券投资基金联接基金基金经理;2020年9月28日至今,担任工银瑞信上证科创板50成份交易型开放式指数证券投资基金基金经理;2021年3月5日至今,担任工银瑞信上证科创板50成份交易型开放式指数证券投资基金联接基金基金经理;2021年6月18日至2023年2月27日,担任工银瑞信深证物联网50交易型开放式指数证券投资基金基金经理;2022年6月30日至今,担任工银瑞信国证港股通科技交易型开放式指数证券投资基金基金经理;2022年7月13日至2025年2月7日担任工银瑞信中证上海环交所碳中和交易型开放式指数证券投资基金基金经理;2023年4月27日至今,担任工银瑞信北证50成份指数证券投资基金基金经理;2023年6月27日至2024年3月8日,担任工银瑞信中证上海环交所碳中和交易型开放式指数证券投资基金联接基金基金经理;2024年3月6日至今,担任工银瑞信中证A50交易型开放式指数证券投资基金基金经理;2024年5月28日至今,担任工银瑞信国证港股通科技交易型开放式指数证券投资基金发起式联接基金基金经理;2024年6月4日至今,担任工银瑞信中证A50交易型开放式指数证券投资基金联接基金基金经理。曾担任工银瑞信深证100交易型开放式指数证券投资基金、工银瑞信中证500交易型开放式指数证券投资基金基金经理。",0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.30%（每年）,北证50成份指数收益率*95%+银行人民币活期存款利率(税后)*5%,2.5801亿份（截止至：2025年06月30日）,2023年04月10日,工银瑞信北证50成份指数证券投资基金,北京银行,工银北证50成份指数C,工银瑞信基金,指数型-股票,赵栩,2023年04月27日 / 2.390亿份,每份累计0.00元（0次）,4.08亿元（截止至：2025年06月30日）份额规模2.5801亿份（截止至：2025年06月30日）,北证50成份指数
015043（前端）基金类型混合型-偏股,成功,张昌平,"张昌平先生:中国国籍,硕士毕业于复旦大学金融学专业。曾任兴业证券股份有限公司资产管理部研究员,兴业证券股份有限公司兴证证券资产管理分公司投资主办、兴证证券资产管理有限公司权益投资部投资主办。于2020年9月加入西部利得基金管理有限公司,现任基金经理。自2020年11月起担任西部利得事件驱动股票型证券投资基金的基金经理,自2022年5月起担任西部利得时代动力混合型发起式证券投资基金的基金经理。2025年8月15日起任西部利得新富灵活配置混合型证券投资基金基金经理。2025年9月6日起任西部利得CES半导体芯片行业指数增强型证券投资基金的基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中债综合财富(总值)指数收益率*40%+沪深300指数收益率*50%+恒生指数收益率(使用估值汇率折算)*10%,1.0319亿份（截止至：2025年06月30日）,2022年05月16日,西部利得时代动力混合型发起式证券投资基金,兴业银行,西部利得时代动力混合发起A,西部利得基金,混合型-偏股,张昌平,2022年05月31日 / 1.543亿份,每份累计0.00元（0次）,1.10亿元（截止至：2025年06月30日）份额规模1.0319亿份（截止至：2025年06月30日）,该基金无跟踪标的
012550（前端）基金类型指数型-股票,成功,蒋俊阳,"蒋俊阳先生:中国,硕士。曾在上海申银万国证券研究所、光大证券研究所从事研究工作。2018年10月加入华宝基金管理有限公司担任基金经理助理等职务,现任指数研发投资部副总经理。2020年7月起任华宝中证电子50交易型开放式指数证券投资基金基金经理,2020年12月起任华宝中证细分食品饮料产业主题交易型开放式指数证券投资基金基金经理,2021年3月至2022年2月任华宝中证沪港深500交易型开放式指数证券投资基金基金经理,2021年6月起任华宝深证创新100交易型开放式指数证券投资基金基金经理,2021年7月起任华宝中证细分食品饮料产业主题交易型开放式指数证券投资基金发起式联接基金基金经理,2021年7月起任华宝中证电子50交易型开放式指数证券投资基金发起式联接基金基金经理,2021年9月至2024年9月任华宝深证创新100交易型开放式指数证券投资基金发起式联接基金基金经理,2021年11月起任华宝中证800地产交易型开放式指数证券投资基金基金经理,2024年3月起任华宝中证A50交易型开放式指数证券投资基金基金经理,2024年4月起任华宝中证A50交易型开放式指数证券投资基金发起式联接基金基金经理,2024年11月起任华宝中证A500交易型开放式指数证券投资基金基金经理,2025年1月起任华宝中证A500交易型开放式指数证券投资基金联接基金基金经理,2025年4月起任华宝深证100指数型发起式证券投资基金基金经理。2025年9月23日担任华宝港股通恒生中国(香港上市)30指数证券投资基金(LOF)基金经理。",0.10%（每年）,,0.80%（前端）天天基金优惠费率：0.08%（前端）,,,0.50%（每年）,0.00%（每年）,中证电子50指数收益率*95%+人民币银行活期存款利率(税后)*5%,0.3812亿份（截止至：2025年06月30日）,2021年07月13日,华宝中证电子50交易型开放式指数证券投资基金发起式联接基金,建设银行,华宝中证电子50ETF联接A,华宝基金,指数型-股票,蒋俊阳、曹旭辰,2021年07月19日 / 0.377亿份,每份累计0.00元（0次）,0.33亿元（截止至：2025年06月30日）份额规模0.3812亿份（截止至：2025年06月30日）,中证电子50指数
003305（前端）基金类型混合型-灵活,失败,吴国清,"吴国清先生:中国国籍,清华大学经济管理学博士。历任南方基金管理股份有限公司研究员、基金经理助理、投资经理;2015年8月加盟前海开源基金管理有限公司,现任公司执行投资总监、基金经理。2015年9月25日至2020年7月23日,任前海开源大海洋战略经济灵活配置混合型证券投资基金基金经理;2016年8月16日至2025年04月29日任前海开源鼎瑞债券型证券投资基金基金经理;2016年10月17日至今,任前海开源沪港深核心资源灵活配置混合型证券投资基金基金经理;2017年3月1日至2022年11月16日,任前海开源沪港深强国产业灵活配置混合型证券投资基金基金经理;2017年5月12日至2021年9月28日,任前海开源沪港深乐享生活灵活配置混合型证券投资基金基金经理;2018年2月9日至2024年1月25日,任前海开源瑞和债券型证券投资基金基金经理;2018年8月17日至2020年7月20日,任前海开源优势蓝筹股票型证券投资基金基金经理;2019年7月19日至今,任前海开源一带一路主题精选灵活配置混合型证券投资基金基金经理;2020年5月11日至2025年06月03日,任前海开源沪港深核心驱动灵活配置混合型证券投资基金基金经理;2020年7月20日至2022年9月15日,任前海开源沪港深隆鑫灵活配置混合型证券投资基金;2020年7月20日至今,任前海开源沪港深农业主题精选灵活配置混合型证券投资基金(LOF)基金经理;2021年6月1日至今,任前海开源金银珠宝主题精选灵活配置混合型证券投资基金基金经理;2024年12月31日至今,任前海开源嘉鑫灵活配置混合型证券投资基金基金经理;2025年1月21日至今,任前海开源周期精选混合型证券投资基金基金经理。吴国清先生具备基金从业资格。",0.10%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,"抓取失败: 网络错误 (HTTPSConnectionPool(host='fundf10.eastmoney.com', port=443): Read timed out. (read timeout=12))",0.60%（每年）,0.10%（每年）,沪深300指数收益率×70%+中证全债指数收益率×30%,1.3864亿份（截止至：2025年06月30日）,2016年09月06日,前海开源沪港深核心资源灵活配置混合型证券投资基金,交通银行,前海开源沪港深核心资源混合C,前海开源基金,混合型-灵活,吴国清,2016年10月17日 / 2.603亿份,每份累计0.03元（1次）,4.76亿元（截止至：2025年06月30日）份额规模1.3864亿份（截止至：2025年06月30日）,该基金无跟踪标的
001534（前端）基金类型混合型-灵活,成功,钟奇,"钟奇先生:中国国籍,研究生毕业、博士,曾在光大证券、海通证券和民生证券从事证券研究工作。2021年6月加入华宝基金管理有限公司,担任研究总监、创新研究发展中心总经理。2021年12月31日任华宝万物互联灵活配置混合型证券投资基金基金经理。2021年12月31日至2025年8月16日任华宝核心优势灵活配置混合型证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*55%+上证国债指数收益率*45%,0.6488亿份（截止至：2025年06月30日）,2015年06月24日,华宝万物互联灵活配置混合型证券投资基金,建设银行,华宝万物互联混合A,华宝基金,混合型-灵活,钟奇,2015年06月30日 / 11.945亿份,每份累计0.00元（0次）,0.84亿元（截止至：2025年06月30日）份额规模0.6488亿份（截止至：2025年06月30日）,该基金无跟踪标的
