基金代码,状态,托管费率,最高申购费率,最高认购费率,最高赎回费率,状态_费率,管理费率,销售服务费率,业绩比较基准,份额规模,发行日期,基金全称,基金托管人,基金简称,基金管理人,基金类型,基金经理人,成立日期/规模,成立来分红,状态_概况,资产规模,跟踪标的
013787（前端）基金类型FOF-进取型,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.00%（每年）,0.60%（每年）,中证偏股型基金指数收益率*90%+中债综合全价指数收益率*10%,3.009亿份（截止至：2025年06月30日）,2021年10月25日,交银施罗德智选星光混合型基金中基金(FOF-LOF),光大银行,交银智选星光混合(FOF-LOF)C,交银施罗德基金,FOF-进取型,刘兵,2021年11月10日 / 34.678亿份,每份累计0.00元（0次）,,2.41亿元（截止至：2025年06月30日）份额规模3.009亿份（截止至：2025年06月30日）,该基金无跟踪标的
018082（前端）基金类型混合型-灵活,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,沪深300指数收益率*50%+中证全债指数收益率*50%,0.3232亿份（截止至：2025年06月30日）,2016年08月15日,光大保德信产业新动力灵活配置混合型证券投资基金,交通银行,光大产业新动力混合C,光大保德信基金,混合型-灵活,房雷,2023年03月10日 / --,每份累计0.00元（0次）,,0.44亿元（截止至：2025年06月30日）份额规模0.3232亿份（截止至：2025年06月30日）,该基金无跟踪标的
010646（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*55%+中证香港100指数收益率*20%+中国战略新兴产业成份指数收益率*5%+中债综合全价(总值)指数收益率*20%,0.5352亿份（截止至：2025年09月30日）,2021年03月29日,融通价值趋势混合型证券投资基金,招商银行,融通价值趋势混合A,融通基金,混合型-偏股,李进,2021年04月28日 / 2.468亿份,每份累计0.00元（0次）,,0.69亿元（截止至：2025年09月30日）份额规模0.5352亿份（截止至：2025年09月30日）,该基金无跟踪标的
021075（前端）基金类型指数型-股票,成功,0.05%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.15%（每年）,0.20%（每年）,中证沪深港黄金产业股票指数收益率*95%+人民币活期存款税后利率*5%,0.3437亿份（截止至：2025年06月30日）,2024年04月11日,华夏中证沪深港黄金产业股票交易型开放式指数证券投资基金发起式联接基金,工商银行,华夏中证沪深港黄金产业股票ETF发起式联接C,华夏基金,指数型-股票,华龙,2024年05月08日 / 0.134亿份,每份累计0.00元（0次）,,0.39亿元（截止至：2025年06月30日）份额规模0.3437亿份（截止至：2025年06月30日）,中证沪深港黄金产业股票指数
004450（前端）基金类型股票型,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证800指数收益率*80%+中债总财富指数收益率*20%,12.154亿份（截止至：2025年06月30日）,2017年04月17日,嘉实前沿科技沪港深股票型证券投资基金,建设银行,嘉实前沿科技沪港深股票A,嘉实基金,股票型,王贵重、赵钰,2017年05月19日 / 11.682亿份,每份累计0.00元（0次）,,23.30亿元（截止至：2025年06月30日）份额规模12.154亿份（截止至：2025年06月30日）,该基金无跟踪标的
001215（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,---（每年）,中国债券总财富指数收益率×40%+中证500指数收益率×40%+恒生综合指数收益率×20%,1.3843亿份（截止至：2025年06月30日）,2015年04月21日,博时沪港深优质企业灵活配置混合型证券投资基金,招商银行,博时沪港深优质企业基金A,博时基金,混合型-灵活,曾鹏,2015年05月14日 / 23.223亿份,每份累计0.00元（0次）,,1.55亿元（截止至：2025年06月30日）份额规模1.3843亿份（截止至：2025年06月30日）,该基金无跟踪标的
017645（前端）基金类型指数型-股票,成功,0.15%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.00%（每年）,0.40%（每年）,中证1000指数收益率*95%+同期银行活期存款利率(税后)*5%,1.4025亿份（截止至：2025年06月30日）,2023年06月01日,博道中证1000指数增强型证券投资基金,招商银行,博道中证1000指数增强C,博道基金,指数型-股票,杨梦,2023年08月25日 / 2.226亿份,每份累计0.00元（0次）,,1.76亿元（截止至：2025年06月30日）份额规模1.4025亿份（截止至：2025年06月30日）,中证1000指数
016019（前端）基金类型指数型-股票,成功,0.10%（每年）,,1.00%（前端）天天基金优惠费率：0.10%（前端）,,,0.50%（每年）,0.00%（每年）,中证电池主题指数收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,0.7326亿份（截止至：2025年06月30日）,2022年06月27日,招商中证电池主题交易型开放式指数证券投资基金联接基金,光大证券,招商中证电池主题ETF联接A,招商基金,指数型-股票,许荣漫,2022年07月12日 / 2.068亿份,每份累计0.00元（0次）,,0.41亿元（截止至：2025年06月30日）份额规模0.7326亿份（截止至：2025年06月30日）,中证电池主题指数
002281（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.00%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率*65%+中债总财富(总值)指数收益率*35%,0.529亿份（截止至：2025年09月30日）,2015年12月23日,建信裕利灵活配置混合型证券投资基金,交通银行,建信裕利灵活配置混合,建信基金,混合型-灵活,江映德,2016年01月04日 / 49.784亿份,每份累计0.00元（0次）,,1.62亿元（截止至：2025年09月30日）份额规模0.529亿份（截止至：2025年09月30日）,该基金无跟踪标的
017073（前端）基金类型股票型,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证新能源指数收益率*50%+恒生沪深港清洁能源指数收益率(经汇率调整)*35%+中债综合财富指数收益率*15%,0.1767亿份（截止至：2025年06月30日）,2022年11月14日,嘉实清洁能源股票型发起式证券投资基金,中国银行,嘉实清洁能源股票发起式A,嘉实基金,股票型,李涛、宋阳,2022年11月22日 / 0.104亿份,每份累计0.00元（0次）,,0.13亿元（截止至：2025年06月30日）份额规模0.1767亿份（截止至：2025年06月30日）,该基金无跟踪标的
018985（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证科创创业50指数收益率*90%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,0.2314亿份（截止至：2025年06月30日）,2023年09月04日,信澳科创创业智选混合型证券投资基金,工商银行,信澳双创智选混合A,信达澳亚基金,混合型-偏股,冯玺祥,2023年10月16日 / 2.173亿份,每份累计0.00元（0次）,,0.29亿元（截止至：2025年06月30日）份额规模0.2314亿份（截止至：2025年06月30日）,该基金无跟踪标的
019875（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.30%（每年）,中证稀有金属主题指数收益率*95%+活期存款利率(税后)*5%,0.0915亿份（截止至：2025年06月30日）,2023年12月11日,广发中证稀有金属主题交易型开放式指数证券投资基金发起式联接基金,光大证券,广发中证稀有金属ETF发起式联接C,广发基金,指数型-股票,姚曦,2023年12月26日 / 0.140亿份,每份累计0.00元（0次）,,0.10亿元（截止至：2025年06月30日）份额规模0.0915亿份（截止至：2025年06月30日）,中证稀有金属主题指数
006533（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,---（每年）,60%×中证500指数收益率+20%×中证港股通综合指数收益率+20%×中债总指数收益率,8.6616亿份（截止至：2025年06月30日）,2019年02月25日,易方达科融混合型证券投资基金,交通银行,易方达科融混合,易方达基金,混合型-偏股,刘健维,2019年03月26日 / 17.507亿份,每份累计0.00元（0次）,,28.91亿元（截止至：2025年06月30日）份额规模8.6616亿份（截止至：2025年06月30日）,该基金无跟踪标的
009062（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证500指数收益率*70%+中债综合全价指数收益率*25%+恒生指数收益率*5%,1.2751亿份（截止至：2025年06月30日）,2020年03月18日,财通智慧成长混合型证券投资基金,工商银行,财通智慧成长混合A,财通基金,混合型-偏股,贾雅楠,2020年04月03日 / 15.550亿份,每份累计0.00元（0次）,,1.45亿元（截止至：2025年06月30日）份额规模1.2751亿份（截止至：2025年06月30日）,该基金无跟踪标的
020086（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证数字经济主题指数收益率*70%+恒生指数收益率*10%(经汇率估值调整)+中债综合财富(总值)指数收益率*20%,0.0327亿份（截止至：2025年06月30日）,2024年04月08日,鹏华智投数字经济混合型证券投资基金,农业银行,鹏华智投数字经济混合A,鹏华基金,混合型-偏股,苏俊杰,2024年05月17日 / 2.265亿份,每份累计0.00元（0次）,,0.05亿元（截止至：2025年06月30日）份额规模0.0327亿份（截止至：2025年06月30日）,该基金无跟踪标的
001691（前端）基金类型QDII-混合灵活,成功,0.20%（每年）,,1.50%（前端）,,,1.20%（每年）,---（每年）,经人民币汇率调整的恒生指数收益率×95%+人民币同期活期存款利率×5%,9.5591亿份（截止至：2025年06月30日）,2015年09月08日,南方香港成长灵活配置混合型证券投资基金,中国银行,南方香港成长灵活配置混合,南方基金,QDII-混合灵活,熊潇雅,2015年09月30日 / 4.593亿份,每份累计0.00元（0次）,,22.39亿元（截止至：2025年06月30日）份额规模9.5591亿份（截止至：2025年06月30日）,该基金无跟踪标的
008087（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.30%（每年）,中证5G通信主题指数收益率*95%+人民币活期存款税后利率*5%,16.592亿份（截止至：2025年06月30日）,2019年11月11日,华夏中证5G通信主题交易型开放式指数证券投资基金发起式联接基金,中国银行,华夏中证5G通信主题ETF联接C,华夏基金,指数型-股票,李俊,2019年12月10日 / 28.840亿份,每份累计0.00元（0次）,,19.30亿元（截止至：2025年06月30日）份额规模16.592亿份（截止至：2025年06月30日）,中证5G通信主题指数
018121（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.20%（每年）,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,3.6359亿份（截止至：2025年09月30日）,2023年04月03日,万家北证50成份指数型发起式证券投资基金,工商银行,万家北证50成份指数发起式C,万家基金,指数型-股票,杨坤,2023年05月05日 / 1.676亿份,每份累计0.00元（0次）,,5.68亿元（截止至：2025年09月30日）份额规模3.6359亿份（截止至：2025年09月30日）,北证50成份指数
002036（前端）基金类型混合型-灵活,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.00%（每年）,0.20%（每年）,沪深300指数收益率×50%+中证综合债券指数收益率×50%,2.0269亿份（截止至：2025年06月30日）,2015年05月11日,安信优势增长灵活配置混合型证券投资基金,招商证券,安信优势增长混合C,安信基金,混合型-灵活,聂世林,2015年11月17日 / --,每份累计0.39元（3次）,,5.29亿元（截止至：2025年06月30日）份额规模2.0269亿份（截止至：2025年06月30日）,该基金无跟踪标的
019505（前端）基金类型股票型,成功,0.15%（每年）,,1.00%（前端）天天基金优惠费率：0.10%（前端）,,,1.00%（每年）,0.00%（每年）,中证1000指数收益率*95%+同期银行活期存款利率(税后)*5%,1.1831亿份（截止至：2025年06月30日）,2023年11月20日,国泰海通中证1000优选股票型发起式证券投资基金,工商银行,国泰海通中证1000优选股票发起A,国泰海通资管,股票型,胡崇海,2023年12月12日 / 2.403亿份,每份累计0.00元（0次）,,1.55亿元（截止至：2025年06月30日）份额规模1.1831亿份（截止至：2025年06月30日）,该基金无跟踪标的
010246（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.80%（每年）,中证500指数收益率95%+银行活期存款利率5%,0.631亿份（截止至：2025年06月30日）,2010年05月17日,华泰柏瑞量化先行混合型证券投资基金,中国银行,华泰柏瑞量化先行混合C,华泰柏瑞基金,混合型-偏股,盛豪,2020年09月28日 / --,每份累计0.00元（0次）,,1.27亿元（截止至：2025年06月30日）份额规模0.631亿份（截止至：2025年06月30日）,该基金无跟踪标的
007127（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,中证800指数收益率×80%+上证国债指数收益率×20%,7.2766亿份（截止至：2025年06月30日）,2019年03月28日,博道远航混合型证券投资基金,招商银行,博道远航混合C,博道基金,混合型-偏股,杨梦,2019年04月30日 / 3.627亿份,每份累计0.23元（1次）,,10.31亿元（截止至：2025年06月30日）份额规模7.2766亿份（截止至：2025年06月30日）,该基金无跟踪标的
008961（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,---（每年）,中国战略新兴产业成份指数收益率×65%+中证港股通综合指数(人民币)收益率×10%+中债综合全价(总值)指数收益率×25%,1.2216亿份（截止至：2025年06月30日）,2020年03月03日,华商科技创新混合型证券投资基金,交通银行,华商科技创新混合,华商基金,混合型-偏股,童立,2020年03月06日 / 9.884亿份,每份累计0.00元（0次）,,1.96亿元（截止至：2025年06月30日）份额规模1.2216亿份（截止至：2025年06月30日）,该基金无跟踪标的
010490（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*60%+恒生指数收益率*20%(经汇率估值调整)+中证综合债指数收益率*20%,12.4212亿份（截止至：2025年06月30日）,2020年11月02日,鹏华高质量增长混合型证券投资基金,中国银行,鹏华高质量增长混合A,鹏华基金,混合型-偏股,胡颖,2020年11月18日 / 31.969亿份,每份累计0.00元（0次）,,10.17亿元（截止至：2025年06月30日）份额规模12.4212亿份（截止至：2025年06月30日）,该基金无跟踪标的
015735（前端）基金类型股票型,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证全指信息技术指数收益率*90%+中债综合财富(总值)指数收益率*10%,0.0191亿份（截止至：2025年06月30日）,2023年03月06日,红塔红土信息产业精选股票型发起式证券投资基金,兴业银行,红塔红土信息产业精选股票发起式C,红塔红土,股票型,赵耀,2023年03月08日 / 0.101亿份,每份累计0.00元（0次）,,0.03亿元（截止至：2025年06月30日）份额规模0.0191亿份（截止至：2025年06月30日）,该基金无跟踪标的
020151（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证800指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,0.7624亿份（截止至：2025年06月30日）,2023年12月01日,中信保诚景气优选混合型证券投资基金,招商银行,中信保诚景气优选混合A,中信保诚基金,混合型-偏股,王颖,2024年02月26日 / 2.879亿份,每份累计0.00元（0次）,,1.26亿元（截止至：2025年06月30日）份额规模0.7624亿份（截止至：2025年06月30日）,该基金无跟踪标的
